;PhyloTree.org - mtDNA tree Build 17 (18 Feb 2016);;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1h1; 11914 ;;;;;;;;;;;HQ659703;JQ703535
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1h2; 2851  14148  14420 ;;;;;;;;;;;JQ704717;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;; 152 ;;;;;;;;;;;;JQ703305;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1i; 6237A ;;;;;;;;;;;JQ703270;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1i1; 9300 ;;;;;;;;;;FJ940865;EU568371
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1i2; 12346 ;;;;;;;;;;JQ703251;JQ701978
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;H1i2a; 12026 ;;;;;;;;;JQ705039;JQ702223
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1an; 15394 ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1an1; 13050 ;;;;;;;;;;JQ703403;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;H1an1a; 4454 ;;;;;;;;;JQ324893;JQ324894
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1an2; 151  16325 ;;;;;;;;;;JQ702335;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1bb; 11864 ;;;;;;;;;;;AY495144;JQ703170
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1j; 4733 ;;;;;;;;;;;;JQ705294;JQ701806
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1j1; 16129 ;;;;;;;;;;;JQ324705;JQ324525
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1j1a; 3849 ;;;;;;;;;;JX297163;JQ324736
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;H1j1a1; 447G ;;;;;;;;;JQ324599;JQ324650
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;H1j1a2; 11144T ;;;;;;;;;JQ324870;JQ324539
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1j1b; 11087 ;;;;;;;;;;JQ324604;JQ324901
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1j1c; 9181  11963C ;;;;;;;;;;JQ324760;JQ324864
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1j2; 1821  13708  16291 ;;;;;;;;;;;JQ703536;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1j2a; 316 ;;;;;;;;;;JQ324660;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1j3; 5249 ;;;;;;;;;;;JQ704358;EF491001
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1j4; 16312 ;;;;;;;;;;;JQ704398;JQ704199
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1j5; 9290A  10256 ;;;;;;;;;;;AY495119;JQ704090
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1j6; 709  3084  9653 ;;;;;;;;;;;JQ703147;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1j7; 6353  14178  15497 ;;;;;;;;;;;JQ703631;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1j8; 2222G  16240 ;;;;;;;;;;;EF177436;JQ705914
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1j9; 2626  (16189) ;;;;;;;;;;;EU372630;DQ489525
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1m; 15323 ;;;;;;;;;;;;JQ705493;JQ065050
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1m1; 146  4171  9468 ;;;;;;;;;;;JQ703995;JQ704459
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1n; 2098 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;; 146 ;;;;;;;;;;;FJ348196;JQ701825
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1n1; 15742A ;;;;;;;;;;JQ704655;JX152925
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;H1n1a; 11339 ;;;;;;;;;JQ704566;JQ703319
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;H1n1b; 15924  16468 ;;;;;;;;;JQ705930;JQ702009
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1n2; 5483  13431 ;;;;;;;;;;FJ348199;JQ702161
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1n3; 7295 ;;;;;;;;;;HQ658482;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1n4; 11914 ;;;;;;;;;;JQ703765;JQ702043
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;; 195 ;;;;;;;;;;HQ839859;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;H1n5; 471 ;;;;;;;;;JQ703312;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1n6; 552A  11551  14221 ;;;;;;;;;;;JX152889;JQ704613
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;; 16355 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1o; 150  14053 ;;;;;;;;;;;JQ702360;JQ324594
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1ck; 7604 ;;;;;;;;;;;JX153389;JX153869
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1p; 13470 ;;;;;;;;;;;;EF556184;NA07345
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1q; 4859 ;;;;;;;;;;;;JQ704630;JQ703742
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1q1; 12366 ;;;;;;;;;;;JQ704373;JX153851
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1q1a; 16256 ;;;;;;;;;;JQ324843;HQ662225
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1q2; 15941 ;;;;;;;;;;;JX152803;JQ324580
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1q3; 8856  14258  16037 ;;;;;;;;;;;NA20811;JX153975
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1r; 9356 ;;;;;;;;;;;;AF346981;JQ705944
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1r1; 146  16278 ;;;;;;;;;;;JX297164;GQ888727
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1s; 8572 ;;;;;;;;;;;;GQ478575;EU080974
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1s1; 12172 ;;;;;;;;;;;JX153137;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1t; 9986 ;;;;;;;;;;;;JX154028;JQ704194
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1t1; 14129 ;;;;;;;;;;;JQ324837;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1t1a; 14224 ;;;;;;;;;;JQ324688;GQ888724
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;H1t1a1; 16266 ;;;;;;;;;JX297158;JQ324838
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1t2; 5978 ;;;;;;;;;;;GQ888725;EF177427
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1u; 9923 ;;;;;;;;;;;;JQ702726;JQ705383
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1u1; 7975 ;;;;;;;;;;;AY495103;JQ702971
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1u2; 3483  16320 ;;;;;;;;;;;JN604117;JX153139
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1v; 10314 ;;;;;;;;;;;;FJ460532;JQ703465
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1v1; 4313 ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1v1a; 9148 ;;;;;;;;;;HM171271;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1v1b; 14560 ;;;;;;;;;;HM171273;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1w; 8966 ;;;;;;;;;;;;HM171275;HM171277
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1x; 7765  10410A  16037  16256 ;;;;;;;;;;;;HM171279;HM171278
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1ae; 15553 ;;;;;;;;;;;;JQ705436;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1ae1; 8470 ;;;;;;;;;;;JQ702071;JQ704433
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1ae2; 11696 ;;;;;;;;;;;JQ704032;JQ705102
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1ae2a; 8843 ;;;;;;;;;;JQ702370;HQ400746
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1ae3; 8723  12771 ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1ae3a; 5231 ;;;;;;;;;;JQ703756;JQ704509
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1af; 16357 ;;;;;;;;;;;;JQ704303;JQ705435
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1af1; 15646 ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1af1a; 9078 ;;;;;;;;;;GQ888707;JQ703089
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1af1b; 16129 ;;;;;;;;;;JQ704957;JX153763
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1af2; 4137 ;;;;;;;;;;;FJ656214;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1ag; 14869 ;;;;;;;;;;;;KC257371;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1ag1; 6272 ;;;;;;;;;;;JQ703316;JQ704657
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1ag1a; 12940  16218 ;;;;;;;;;;JQ703938;GQ175058
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1ag1b; 6734 ;;;;;;;;;;JQ704170;JQ702557
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1ah; 8950  12507 ;;;;;;;;;;;;NA19655;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1ah1; (200)  3411  7412  16248 ;;;;;;;;;;;JQ324708;JQ702002
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1ah2; 6261  16212 ;;;;;;;;;;;JQ703687;JQ704293
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1ai; 15088 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1ai1; 6722 ;;;;;;;;;;;JQ701969;EU675941
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1aj; 14133 ;;;;;;;;;;;;JQ703262;NA20525
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1aj1; 8618  16192 ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1aj1a; 207  9621  16172  16456 ;;;;;;;;;;JQ703788;JQ702591
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1ak; 3666 ;;;;;;;;;;;;JQ702623;AY738979
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1ak1; 5393 ;;;;;;;;;;;JQ324892;KC533493
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1ak2; 4435 ;;;;;;;;;;;JQ324884;JQ324782
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1am; 4763A ;;;;;;;;;;;;JQ703706;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1am1; 5309G ;;;;;;;;;;;HM488738;JX152833
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;; 16278 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1ao; 93  146  11809 ;;;;;;;;;;;JQ704226;JQ704336
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1ao1; 11914 ;;;;;;;;;;JQ704235;GQ334714
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1cg; 4767 ;;;;;;;;;;;JX153703;HM625689
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1ap; 8410 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1ap1; 152  5780  16189 ;;;;;;;;;;;JQ704669;KC257395
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1aq; 13386 ;;;;;;;;;;;;EU597511;JQ324562
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1aq1; 15304A  16218 ;;;;;;;;;;;JQ703371;JQ702907
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1ar; 183  16468 ;;;;;;;;;;;;JQ324931;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1ar1; 11890  16302 ;;;;;;;;;;;JQ704291;JQ704671
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1as; 4688 ;;;;;;;;;;;;JQ702701;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1as1; 150  6216 ;;;;;;;;;;;JQ703561;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1as1a; 16261 ;;;;;;;;;;JQ704158;EF177421
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1as2; 980 ;;;;;;;;;;;JQ704370;JQ702495
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1at; 15758 ;;;;;;;;;;;;JQ324928;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1at1; 7337 ;;;;;;;;;;;JQ703224;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1at1a; 12136 ;;;;;;;;;;JQ704066;FJ858266
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1au; 16148 ;;;;;;;;;;;;GU981676;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1au1; 11515A ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1au1a; 1664 ;;;;;;;;;;JQ703256;JQ703506
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1au1b; 1719 ;;;;;;;;;;GU207871;JQ704010
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1av; 7762 ;;;;;;;;;;;;JQ705362;JQ704538
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1av1; 150 ;;;;;;;;;;;JQ324719;JQ324841
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1av1a; 4674 ;;;;;;;;;;JQ324552;JQ324605
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1aw; 460  8701  16129 ;;;;;;;;;;;;JQ704411;AY495153
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1aw1; 7403 ;;;;;;;;;;;JQ324713;JX153392
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1ax; 5054C  7471  8429 ;;;;;;;;;;;;JQ704285;HM625711
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1ax1; 14861 ;;;;;;;;;;;KF562342;JQ704177
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1ay; 9708 ;;;;;;;;;;;;JQ703923;JQ704587
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1az; 8308 ;;;;;;;;;;;;JQ702269;JQ704564
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1ba; 16270 ;;;;;;;;;;;;JQ702799;JQ703888
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1ba1; 16276 ;;;;;;;;;;;HM765465;EF660923
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1bc; 152  10325 ;;;;;;;;;;;;JQ704162;JQ702634
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1bd; 9966 ;;;;;;;;;;;;JQ704553;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1be; 10750  13035 ;;;;;;;;;;;;JQ703681;JQ704424
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;; 16239 ;;;;;;;;;;;;JQ704230;JQ705157
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1bf; 13768 ;;;;;;;;;;;JQ704186;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H1bf1; 16242 ;;;;;;;;;;JX297162;HM103354
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1bg; 5054  7849 ;;;;;;;;;;;JQ703148;JQ704588
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1bh; 11377 ;;;;;;;;;;;JX153634;JQ703668
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1ch; 1462 ;;;;;;;;;;;JX153093;JQ704465
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1bi; 3745 ;;;;;;;;;;;;JQ704212;JQ704435
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1bj; 10295 ;;;;;;;;;;;;JQ704756;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1bk; 11084 ;;;;;;;;;;;;JQ703132;JQ705754
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1bm; 4216 ;;;;;;;;;;;;JQ705579;JQ704794
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1bn; 8245 ;;;;;;;;;;;;JQ703317;JQ705138
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1bo; 267  485  6446T  11002  15844 ;;;;;;;;;;;;EF556177;JQ702570
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1bp; 10003 ;;;;;;;;;;;;AY738977;JX153073
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1bq; 14467 ;;;;;;;;;;;;JQ703346;JQ324662
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1br; 10454 ;;;;;;;;;;;;JQ704089;JQ704606
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1bs; 16220C ;;;;;;;;;;;;JQ324633;JQ703571
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1bt; 16527 ;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1bt1; 10348  12007 ;;;;;;;;;;;JQ703244;JQ704419
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1bu; 1811  5558 ;;;;;;;;;;;;JQ703635;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1bv; 12681 ;;;;;;;;;;;;KC175606;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1bv1; 8164  16362 ;;;;;;;;;;;JQ324778;JQ324723
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1bw; 8478 ;;;;;;;;;;;;JQ704366;JQ702483
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1bx; 789  8740 ;;;;;;;;;;;;JQ324627;JQ324844
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1bz; 1531  4924  16240 ;;;;;;;;;;;;JQ898578;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1ca; 4316  6515G ;;;;;;;;;;;;EU600345;KC911277
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;; 16311 ;;;;;;;;;;;;JQ705028;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H1cd; 9722  10316  12373  16217 ;;;;;;;;;;;JQ324670;HG01521
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1cf; 16260 ;;;;;;;;;;;;KC257391;JQ703388
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1ci; 12454  14914  15016 ;;;;;;;;;;;;JX153783;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H1cj; 3221  8705  9581  11204  16129 ;;;;;;;;;;;;HQ703482;JX153943
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;H2; 1438 ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;H2a; 4769 ;;;;;;;;;;;;EU597492;GU592029
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H2a1; 951  16354 ;;;;;;;;;;;FJ238053;JQ324929
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H2a1a; 6173  13095 ;;;;;;;;;;FJ668389;HQ667351
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;H2a1a1; 979  3567  12127  13272 ;;;;;;;;;JQ703397;JQ704198
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;H2a1a2; 6620  9862A  11077  14494 ;;;;;;;;;JQ701848;JQ703509
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H2a1b; 5978  13395 ;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;H2a1b1; 210 ;;;;;;;;;JQ703204;JQ703362
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;H2a1b2; 72G  2195  16256 ;;;;;;;;;JQ703223;JX152855
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H2a1c; 3834 ;;;;;;;;;;JQ703582;EU597521
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H2a1d; 4769  6260  8679 ;;;;;;;;;;FJ161702;FJ800808
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H2a1e; 575 ;;;;;;;;;;JQ703145;JQ324896
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;H2a1e1; 751 ;;;;;;;;;JQ704189;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;H2a1e1a; 16124 ;;;;;;;;FJ842614;JQ703366
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;H2a1e1a1; 16148  16166 ;;;;;;;JQ703214;HQ698266
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;H2a1e1b; 4715  5899.XC ;;;;;;;;JQ704847;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H2a1f; 16193 ;;;;;;;;;;HQ336422;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;H2a1f1; 127 ;;;;;;;;;JQ705806;JX153159
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;H2a1f2; 150 ;;;;;;;;;KF723706;JX153614
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H2a1g; 8065 ;;;;;;;;;;JQ705411;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H2a1i; 113  16145 ;;;;;;;;;;JQ703760;KC911386
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H2a1j; 444  14189 ;;;;;;;;;;JQ701819;JQ705223
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H2a1k; 3396 ;;;;;;;;;;JQ705370;JQ704025
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H2a1m; 195  2442 ;;;;;;;;;;JX153259;JX153250
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;; 146 ;;;;;;;;;;JQ704434;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;H2a1n; 4659 ;;;;;;;;;JX153119;EU780223
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;H2a2; 750 ;;;;;;;;;;;JQ704533;JQ703191
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;H2a2a; 8860  15326 ;;;;;;;;;;GU122997;JQ701904
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;H2a2a1; 263 ;;;;;;;;;rCRS;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;H2a2a1a; 15314 ;;;;;;;;EU795361;EU157923
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;H2a2a1b; 9299 ;;;;;;;;JQ702287;JQ704346
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;H2a2a1c; 6632  16051 ;;;;;;;;;
